1,2,7,10,14,17
земельный участок,иное,квартира,жилой дом,дача,гараж
дачный участок,баня,жилое помещение,незавершенное строительство жилого дома,дача,бокс
замельный участок под гаражем,беседка,квартира,дом,дачное строение,гараж
земельный садовый участок,водопровод,комната (служебное помещение),жилое строение,дачный дом,гараж бокс
земельный участок под гараж,газопровод,комната в квартире,жилой блок,дачный домик,гараж с баней
земельный участок под гаражем,гостиничный номер,2 комнаты в квартире,жилой дом,садовый дом,гаражный бокс
земельный участок под гаражом,иное недвижимое имущество,комната в коммунальной квартире,часть жилого дома,,лодочный ангар
земельный участок под ижс,кабинка-овощехранилище,комната в общежитии,,,машино-место
земельный участок,кладовая,комната в общежитии,,,машиноместо
лесной участок,котельная,комната,,,парковочное место
приусадебный земельный участок,летняя кухня,комнаты,,,эллинг
садовый участок,надводная постройка,служебное жилое помещение,,,
,надворная постройка,,,,
,недостроенный дом,,,,
,нежилое здание,,,,
,нежилое помещение,,,,
,нежилое помещение,,,,
,нежилой дом,,,,
,номер в гостинице,,,,
,объект незавершенного строительства,,,,
,овощная яма,,,,
,погреб,,,,
,погребная ячейка,,,,
,подвал,,,,
,подсобное помещение,,,,
,сарай,,,,
,склад,,,,
,сооружение - газопровод низкого давления,,,,
,теплица,,,,
,торгово-офисное здание,,,,
,хозблок,,,,
,хозяйственная постройка,,,,
,хозяйственное помещение,,,,
,хозяйственное строение,,,,
,хозяйственое строение,,,,
,частная гостиница,,,,
